year,season,type,club1,club2,result1,result2,date,time,index,dates,scheduleid
2017,summer,常规赛,EDG,OMG,2,0,07-16,18:00,https://www.wanplus.com/schedule/30871.html,2017/07/16 18:00:00,30871
2017,summer,常规赛,EDG,JDG,2,0,07-20,17:00,https://www.wanplus.com/schedule/30872.html,2017/07/20 17:00:00,30872
2017,summer,常规赛,OMG,LNG,2,0,07-20,19:00,https://www.wanplus.com/schedule/30873.html,2017/07/20 19:00:00,30873
2017,summer,常规赛,IM,SN,2,0,07-21,17:00,https://www.wanplus.com/schedule/30874.html,2017/07/21 17:00:00,30874
2017,summer,常规赛,NB,IG,2,0,07-21,19:00,https://www.wanplus.com/schedule/30875.html,2017/07/21 19:00:00,30875
2017,summer,常规赛,LNG,LGD,2,1,07-22,14:00,https://www.wanplus.com/schedule/30876.html,2017/07/22 14:00:00,30876
2017,summer,常规赛,DAN,JDG,0,2,07-22,16:00,https://www.wanplus.com/schedule/30877.html,2017/07/22 16:00:00,30877
2017,summer,常规赛,OMG,WE,0,2,07-22,18:00,https://www.wanplus.com/schedule/30878.html,2017/07/22 18:00:00,30878
2017,summer,常规赛,EDG,SN,0,2,07-23,16:00,https://www.wanplus.com/schedule/30879.html,2017/07/23 16:00:00,30879
2017,summer,常规赛,RNG,IM,1,2,07-23,18:00,https://www.wanplus.com/schedule/30880.html,2017/07/23 18:00:00,30880
2017,summer,常规赛,IG,LGD,2,0,07-27,17:00,https://www.wanplus.com/schedule/30881.html,2017/07/27 17:00:00,30881
2017,summer,常规赛,IM,OMG,0,2,07-27,19:00,https://www.wanplus.com/schedule/30882.html,2017/07/27 19:00:00,30882
2017,summer,常规赛,WE,SN,2,0,07-28,17:00,https://www.wanplus.com/schedule/30883.html,2017/07/28 17:00:00,30883
2017,summer,常规赛,RNG,LNG,2,0,07-28,19:00,https://www.wanplus.com/schedule/30884.html,2017/07/28 19:00:00,30884
2017,summer,常规赛,OMG,IG,1,2,07-29,14:00,https://www.wanplus.com/schedule/30885.html,2017/07/29 14:00:00,30885
2017,summer,常规赛,NB,DAN,2,1,07-29,16:00,https://www.wanplus.com/schedule/30886.html,2017/07/29 16:00:00,30886
2017,summer,常规赛,LGD,EDG,0,2,07-29,18:00,https://www.wanplus.com/schedule/30887.html,2017/07/29 18:00:00,30887
2017,summer,常规赛,SN,LNG,2,1,07-30,16:00,https://www.wanplus.com/schedule/30888.html,2017/07/30 16:00:00,30888
2017,summer,常规赛,WE,RNG,0,2,07-30,18:00,https://www.wanplus.com/schedule/30889.html,2017/07/30 18:00:00,30889
2017,summer,常规赛,DAN,IM,0,2,08-03,17:00,https://www.wanplus.com/schedule/33102.html,2017/08/03 17:00:00,33102
2017,summer,常规赛,LNG,IG,2,0,08-03,19:00,https://www.wanplus.com/schedule/33103.html,2017/08/03 19:00:00,33103
2017,summer,常规赛,JDG,NB,2,1,08-04,17:00,https://www.wanplus.com/schedule/33104.html,2017/08/04 17:00:00,33104
2017,summer,常规赛,SN,RNG,0,2,08-04,19:00,https://www.wanplus.com/schedule/33105.html,2017/08/04 19:00:00,33105
2017,summer,常规赛,IM,EDG,0,2,08-05,14:00,https://www.wanplus.com/schedule/33106.html,2017/08/05 14:00:00,33106
2017,summer,常规赛,DAN,LNG,1,2,08-05,16:00,https://www.wanplus.com/schedule/33107.html,2017/08/05 16:00:00,33107
2017,summer,常规赛,IG,WE,2,0,08-05,18:00,https://www.wanplus.com/schedule/33108.html,2017/08/05 18:00:00,33108
2017,summer,常规赛,JDG,RNG,0,2,08-06,14:00,https://www.wanplus.com/schedule/33109.html,2017/08/06 14:00:00,33109
2017,summer,常规赛,SN,LGD,0,2,08-06,16:00,https://www.wanplus.com/schedule/33110.html,2017/08/06 16:00:00,33110
2017,summer,常规赛,NB,OMG,0,2,08-06,18:00,https://www.wanplus.com/schedule/33111.html,2017/08/06 18:00:00,33111
2017,summer,常规赛,SN,OMG,2,1,08-10,17:00,https://www.wanplus.com/schedule/33112.html,2017/08/10 17:00:00,33112
2017,summer,常规赛,NB,LGD,2,0,08-10,19:00,https://www.wanplus.com/schedule/33113.html,2017/08/10 19:00:00,33113
2017,summer,常规赛,IM,WE,1,2,08-11,17:00,https://www.wanplus.com/schedule/33114.html,2017/08/11 17:00:00,33114
2017,summer,常规赛,DAN,EDG,0,2,08-11,19:00,https://www.wanplus.com/schedule/33115.html,2017/08/11 19:00:00,33115
2017,summer,常规赛,NB,SN,2,0,08-12,14:00,https://www.wanplus.com/schedule/33116.html,2017/08/12 14:00:00,33116
2017,summer,常规赛,JDG,LGD,2,0,08-12,16:00,https://www.wanplus.com/schedule/33117.html,2017/08/12 16:00:00,33117
